Time,RtoR
,23069
,6072
,19590
,991
,2378
,157
,931
,14272
,18952
,1525
,1203
,7080
,892
,729
,2624
,1462
,2001
,2528
,1480
,92
,1198
,31
,390
,1717
,11043
,708
,765
,116
,380
,812
,290
,130
,805
,312
,207
,644
,1816
,95
,982
,676
,4113
,1020
,596
,470
,1317
,114
,313
,1904
,582
,997
,411
,120
,275
,563
,218
,1142
,409
,57
,703
,1833
,640
,184
,350
,252
,388
,356
,366
,528
,732
,191
,1073
,203
,267
,281
,186
,344
,289
,173
,358
,452
,242
,89
,417
,126
,274
,157
,378
,246
,650
,666
,1346
,662
,688
,531
,261
,183
,159
,400
,146
,305
,645
,646
,299
,350
,523
,774
,293
,174
,189
,674
,10709
,662
,1220
,3099
,2689
,3094
,335
,84
,360
,296
,428
,342
,740
,1195
,637
,599
,1040
,28
,795
,1664
,452
,233
,199
,297
,3059
,506
,540
,85
,588
,410
,1105
,155
,526
,477
,238
,883
,650
,879
,1448
,399
,569
,315
,1600
,302
,482
,391
,103
,152
,737
,315
,492
,298
,805
,182
,207
,297
,401
,236
,188
,2009
,2385
,606
,989
,1213
,4257
,1582
,536
,485
,149
,366
,53
,353
,828
,324
,299
,400
,93
,254
,658
,541
,380
,224
,217
,458
,391
,210
,862
,753
,736
,544
,683
,1026
,750
,1566
,707
,769
,778
,778
,768
,1546
,736
,754
,744
,739
,148
,590
,737
,783
,683
,727
,728
,722
,1433
,243
,1197
,712
,709
,251
,1156
,247
,161
,1570
,157
,382
,36
,898
,322
,255
,362
,600
,191
,572
,652
,695
,270
,1135
,89
,591
,402
,315
,249
,698
,554
,287
,124
,301
,351
,525
,143
,410
,424
,52
,464
,292
,446
,77
,418
,295
,62
,231
,356
,357
,95
,346
,160
,461
,266
,571
,334
,1221
,596
,292
,1465
,575
,566
,178
,387
,124
,193
,1306
,226
,344
,158
,642
,10577
,8518
,10482
,515
,224
,345
,234
,477
,157
,2606
,484
,595
,4508
,1533
,130
,185
,1347
,147
,234
,1555
,677
,845
,1384
,1146
,437
,338
,668
,387
,755
,181
,771
,348
,288
,223
,338
,2696
,2435
,3040
,573
,458
,520
,508
,524
,170
,305
,841
,156
,207
,370
,456
,440
,502
,511
,523
,542
,286
,273
,154
,269
,268
,943
,238
,356
,557
,491
,51
,410
,262
,188
,176
,232
,366
,538
,803
,261
,420
,168
,978
,183
,906
,224
,253
,1591
,126
,312
,862
,369
,466
,469
,459
,908
,874
,628
,113
,1150
,351
,321
,163
,580
,778
,1052
,254
,62
,1312
,167
,2285
,931
,1246
,461
,278
,168
,411
,818
,354
,1325
,285
,911
,281
,371
,233
,3692
,855
,286
,42
,346
,183
,939
,505
,170
,186
,4804
,23114
,641
,214
,633
,167
,3033
,4057
,1744
,1986
,1451
,396
,1991
,316
,168
,593
,2471
,778
,126
,308
,313
,555
,464
,422
,450
,407
,283
,91
,316
,256
,514
,148
,836
,5048
,1147
,1108
,569
,498
,1069
,657
,1146
,1745
,583
,577
,567
,581
,572
,572
,1138
,1655
,199
,782
,171
,818
,514
,558
,141
,709
,357
,1069
,434
,2077
,1000
,325
,891
,200
,536
,288
,585
,402
,334
,1600
,262
,240
,565
,109
,489
,327
,918
,372
,243
,248
,208
,340
,230
,270
,282
,108
,424
,376
,474
,258
,329
,394
,367
,229
,266
,108
,250
,309
,1025
,1360
,157
,141
,601
,222
,257
,479
,1378
,735
,4845
,696
,928
,283
,54
,312
,362
,139
,844
,247
,355
,431
,73
,384
,124
,941
,175
,249
,284
,625
,227
,391
,1281
,399
,573
,238
,284
,170
,165
,637
,204
,137
,388
,121
,399
,515
,599
,1091
,975
,618
,1436
,140
,200
,1323
,342
,571
,73
,439
,109
,1927
,372
,2689
,662
,572
,625
,55
,561
,621
,630
,623
,617
,230
,374
,189
,417
,1227
,339
,271
,606
,613
,614
,613
,614
,616
,605
,609
,598
,599
,526
,72
,637
,152
,384
,57
,644
,286
,230
,526
,602
,605
,618
,618
,665
,447
,103
,610
,592
,597
,441
,145
,584
,610
,603
,614
,630
,640
,1923
,1273
,637
,1962
,570
,3031
,598
,524
,59
,1747
,617
,611
,1241
,1257
,632
,641
,661
,442
,602
,730
,586
,368
,1211
,683
,643
,391
,3207
,595
,793
,398
,696
,607
,680
,360
,94
,441
,567
,1360
,1361
,686
,666
,719
,602
,643
,629
,610
,620
,616
,617
,612
,604
,345
,268
,611
,618
,411
,203
,419
,201
,166
,461
,631
,521
,123
,331
,891
,675
,631
,626
,1270
,640
,648
,1288
,649
,658
,634
,638
,363
,277
,439
,719
,93
,458
,314
,607
,1024
,367
,282
,356
,199
,215
,454
,469
,359
,450
,622
,236
,451
,700
,254
,236
,716
,314
,716
,464
,242
,360
,282
,748
,752
,242
,290
,1947
,634
,634
,214
,258
,492
,184
,736
,550
,606
,364
,243
,612
,778
,28
,415
,603
,608
,602
,604
,596
,605
,2111
,1240
,448
,683
,1385
,1359
,674
,633
,632
,263
,575
,457
,165
,401
,626
,636
,229
,419
,647
,1913
,622
,576
,39
,1206
,72
,512
,602
,588
,585
,632
,253
,271
,61
,1082
,566
,1174
,511
,615
,516
,568
,625
,516
,569
,573
,568
,57
,1069
,623
,82
,447
,546
,342
,379
,1068
,616
,679
,638
,317
,319
,635
,570
,613
,1205
,597
,600
,609
,426
,178
,657
,561
,598
,1225
,585
,530
,577
,573
,572
,927
,227
,601
,813
,415
,607
,374
,229
,600
,235
,936
,193
,375
,382
,182
,565
,615
,485
,261
,286
,345
,1542
,354
,461
,108
,373
,278
,556
,1204
,155
,416
,688
,395
,234
,182
,576
,694
,377
,1397
,282
,651
,444
,239
,441
,557
,657
,364
,2006
,429
,620
,636
,640
,638
,573
,369
,347
,554
,600
,582
,144
,158
,370
,531
,528
,581
,642
,556
,629
,1279
,642
,649
,656
,654
,646
,643
,640
,633
,626
,612
,613
,609
,599
,1388
,406
,600
